,Countries,buyers,sellers
0,Australia,0.0007596273130213078,0.0004180005783375418
1,Austria,0.00021671011270448832,0.0002009303116373519
2,Belgium,0.0005440397184661753,0.00042666770176903214
3,Bulgaria,6.998370683241842e-06,2.5169854097206223e-06
4,Brazil,0.0008202583743816228,0.0007295451580314173
5,Canada,0.008682231412598312,0.011332386776886482
6,Switzerland,0.00028351847521385526,0.0005563678345171037
7,China,0.001020331409638125,0.0021250188515218866
8,Cyprus,1.3266641186841609e-05,7.475724356491443e-05
9,Czech Republic,9.352547509374756e-05,8.507426952952963e-05
10,Germany,0.0032608130245925385,0.0031936155543827722
11,Denmark,0.00013104489788434205,0.00019150390551479025
12,Spain,0.0005168425668474911,0.0005886591247516
13,Estonia,3.853074244551986e-06,2.817211811639155e-06
14,Finland,0.0002841158591006965,0.0002652841398876023
15,France,0.0017705073160188796,0.002213273595501093
16,United Kingdom,0.002990143929177188,0.003216183528766017
17,Greece,0.00011780395870259989,4.374370998851199e-05
18,Croatia,1.6596722168539248e-05,1.0730421886605273e-05
19,Hungary,0.00013315489636259184,7.897415565600984e-05
20,Indonesia,0.00018210576098143691,0.0003296485111533439
21,India,0.0003456860537934481,0.0004296404564742927
22,Ireland,0.002219615776685093,0.0008133132968762545
23,Italy,0.0018699563977113674,0.0014162446419394685
24,Japan,0.007006404020156359,0.01586485069375369
25,Korea Republic,0.002368502594024556,0.0025401606962540137
26,Lithuania,3.8923916951610805e-06,4.099927695208299e-06
27,Luxembourg,0.0005581910179277272,1.5940505255832734e-05
28,Latvia,4.484778666524297e-06,6.1588108831995855e-06
29,Mexico,0.007464445075708471,0.0046564824582997115
30,Malta,6.443036879014129e-05,2.3522093406277416e-05
31,Netherlands,0.0015723680243665838,0.001023474685117061
32,Norway,0.00014958736243805924,0.0005489463293175492
33,Poland,0.00012319965637123302,7.971658222947522e-05
34,Portugal,0.00010358479436500748,7.01873712102555e-05
35,Romania,1.92316249147993e-05,2.495706652314962e-05
36,Russian Federation,0.0001574329287345731,0.00032445546454335986
37,Slovak Republic,2.117747187099328e-05,9.166094793785541e-06
38,Slovenia,1.8921253691592426e-05,9.237246411349248e-06
39,Sweden,0.0006083968804713737,0.0005942126020938314
40,Turkey,0.0001561405374847376,0.0002115227254898112
41,Taiwan,0.0014595887461535462,0.0020134649685966967
42,United States,0.9998871983068649,0.9997755738007951
